# Metadata:
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/LAKELAND/LAKELAND_20191201_to_20191231_de09c18_proc.zip
# Import from fData/Raw Log Data/LAKELAND_20200101_to_20200131_a9720c1_proc.zip
# *arg* filter_args = {'query_list': ['debug == 0', 'sess_ActiveEventCount >= 10', 'sessDuration >= 300', '_continue == 0', 'sessDuration <= 2700'], 'one_query': False, 'fillna': 0, 'verbose': True}
# Query: Intial Shape, output_shape: (32227, 1647)
# Query: debug == 0, output_shape: (32221, 1647)
# Query: sess_ActiveEventCount >= 10, output_shape: (26934, 1647)
# Query: sessDuration >= 300, output_shape: (16109, 1647)
# Query: _continue == 0, output_shape: (10591, 1647)
# Query: sessDuration <= 2700, output_shape: (10164, 1647)
# Filled NaN with 0
# *arg* new_feat_args = {'verbose': False, 'avg_tile_hover_lvl_range': None}
# *arg* lvlfeats = []
# *arg* lvlrange = range(0, 1)
# *arg* finalfeats = ['count_bloom_achs', 'count_farm_achs', 'count_money_achs', 'count_pop_achs', 'sessDuration']
# Original Num Rows: 10164
# *arg* zthresh = None

sessID,num_play,count_bloom_achs,count_farm_achs,count_money_achs,count_pop_achs,sessDuration
19110008294224004,1,0,1,2,1,445.89599999999996
19110008342121304,1,1,4,2,3,1457.599
19110008400831924,1,1,3,2,1,1294.9560000000001
19110008474177544,1,0,1,0,1,648.3
19110008495502290,1,0,4,4,4,2296.544
19110009073889360,1,0,1,0,1,397.981
19110009090690380,1,0,1,0,1,572.882
19110009153807024,1,0,1,0,1,359.371
19110009160961884,1,1,2,2,1,902.113
19110009172235556,1,1,2,1,1,821.86
19110009225956180,1,1,2,2,1,923.2260000000001
19110009483183372,1,0,1,0,1,614.898
19110009492236160,2,0,2,0,1,914.671
19110009521403344,1,0,1,1,1,350.726
19110010051592560,1,0,2,0,1,365.18199999999996
19110010065428544,1,0,2,1,1,980.8969999999999
19110010112295416,1,0,1,0,1,1056.014
19110010145341660,1,0,2,1,1,1647.69
19110010163819724,1,0,1,1,1,495.102
19110010164029110,2,0,3,2,2,847.845
19110010181304596,1,0,1,0,1,600.675
19110010184680920,1,0,1,2,1,1474.749
19110010190353016,1,0,2,1,1,1517.9379999999999
19110010242494964,1,0,2,2,1,743.1619999999999
19110010284802536,1,0,1,1,1,711.7
19110010330938950,1,0,2,0,1,705.163
19110010442053400,1,0,2,0,1,840.816
19110010454441200,1,1,3,1,1,803.826
19110010472974296,1,0,1,1,1,2653.615
19110010481226510,3,0,1,1,1,1051.0639999999999
19110010492149370,1,0,1,0,1,326.942
19110010500553840,1,0,2,0,1,449.92900000000003
19110010544022356,2,0,2,0,1,355.145
19110010552289136,1,0,1,0,1,603.339
19110011001613764,1,0,1,0,1,514.111
19110011025764330,1,0,1,0,1,634.434
19110011042292012,1,0,1,0,1,895.898
19110011042450320,1,1,3,2,2,1542.634
19110011151858476,1,1,1,1,1,965.0360000000001
19110011175598384,1,0,1,0,1,435.99699999999996
19110011195497096,1,2,3,2,1,2567.613
19110011222878216,1,0,1,0,1,321.89799999999997
19110011261650540,1,0,1,0,1,348.56699999999995
19110011341147584,1,0,1,0,1,722.206
19110011345816764,1,0,1,1,1,892.3430000000001
19110011394102656,1,0,1,0,1,597.15
19110011453053704,1,0,2,2,1,743.9730000000001
19110011462282024,1,0,2,0,1,697.421
19110011471278104,1,0,1,1,1,636.1669999999999
19110011495971676,1,0,1,0,1,911.758
19110012005049364,2,0,1,0,1,2423.0370000000003
19110012064582976,1,0,1,1,1,523.818
19110012083381390,1,0,1,1,1,543.769
19110012101586120,1,0,1,1,1,561.786
19110012114973370,1,0,2,0,1,1703.213
19110012135054170,1,0,3,2,2,2192.014
19110012151988696,1,0,2,1,1,2556.638
19110012235273748,2,0,1,0,1,441.411
19110012263452210,2,0,2,0,1,429.77099999999996
19110012271978340,1,1,2,1,1,465.98900000000003
19110012373613456,1,0,2,0,1,1023.197
19110012391714644,1,0,2,1,1,324.464
19110012513647336,1,0,1,0,1,433.57800000000003
19110012565992456,1,0,2,2,2,757.799
19110012583066224,1,1,1,1,1,2373.44
19110013050567148,1,0,2,0,1,861.914
19110013054323828,1,1,1,1,1,1504.981
19110013151129652,1,0,2,0,1,339.285
19110013194305256,1,0,1,0,1,391.181
19110013311987184,1,0,2,1,2,626.918
19110013342597744,1,0,1,0,1,956.523
19110013344870264,1,0,1,0,1,768.948
19110013345768490,1,0,1,2,1,1635.465
19110013354752870,1,0,1,0,1,1176.3410000000001
19110013362145730,1,0,3,2,2,949.2539999999999
19110013370614720,1,0,1,0,1,300.921
19110013384574716,1,0,1,2,1,607.889
19110013491466852,1,0,2,0,1,519.7130000000001
19110013492844264,1,1,1,1,1,1805.394
19110013501634176,1,0,1,1,1,861.9580000000001
19110013510915036,1,1,1,1,1,1639.129
19110013532017796,1,0,3,2,1,728.007
19110014013835556,1,0,3,1,1,672.943
19110014014702970,1,0,1,0,1,532.656
19110014035393990,1,0,1,0,1,483.295
19110014041429216,1,0,1,0,1,327.425
19110014044433440,1,1,3,2,2,2649.218
19110014083497376,1,0,1,0,1,1952.1789999999999
19110014143369350,1,1,2,1,1,864.4839999999999
19110014215495896,1,0,1,2,1,610.2280000000001
19110014234707580,1,0,1,0,1,682.289
19110014241736290,1,0,1,0,1,305.02
19110014272712050,1,0,1,0,1,344.67
19110014282803916,1,0,3,2,2,1315.395
19110014283213884,1,0,1,0,1,525.901
19110014323731940,1,1,4,4,3,2153.709
19110014325418536,1,0,1,0,1,341.30699999999996
19110014354273324,1,0,1,0,1,312.01
19110014363928760,1,1,3,1,1,1236.697
19110014364319980,1,1,1,2,1,894.692
19110014420813120,1,2,4,4,4,2192.37
19110014463720476,1,0,1,0,1,549.654
19110014484210410,1,0,1,0,1,963.2760000000001
19110014535107650,1,0,1,0,1,348.472
19110014545268876,1,1,1,0,1,952.557
19110015000904070,1,1,3,3,2,1769.2320000000002
19110015005133276,1,0,2,2,1,871.443
19110015022098816,2,1,2,2,1,1362.362
19110015033231410,1,0,2,2,1,2269.779
19110015160133190,1,0,2,2,1,1293.993
19110015190164620,1,1,2,1,1,551.155
19110015191434092,1,1,2,1,1,961.1610000000001
19110015245374028,3,0,3,2,1,1057.506
19110015261477744,1,0,1,0,1,750.1360000000001
19110015275321376,1,0,1,1,1,625.188
19110015373773130,1,1,2,1,1,1527.576
19110015384296970,1,1,4,4,2,2225.029
19110015443973244,1,0,1,0,1,767.775
19110015525260636,1,0,1,0,1,469.13300000000004
19110015532837840,1,0,1,1,1,356.10699999999997
19110016000706370,2,1,3,2,1,1091.36
19110016010945332,1,0,1,0,1,528.935
19110016015507484,1,0,1,0,1,546.935
19110016054313570,1,0,3,0,1,572.464
19110016080539144,3,0,1,2,1,1123.44
19110016103439750,1,0,1,1,1,907.426
19110016171501290,1,0,4,2,1,961.696
19110016240861970,1,0,1,0,1,738.477
19110016302104896,1,0,1,0,1,497.461
19110016313409196,1,1,1,1,1,528.805
19110016350793910,1,0,1,0,1,693.93
19110016370036760,2,1,2,1,1,1052.711
19110016385898130,1,0,1,0,1,1610.1129999999998
19110016392507340,1,0,1,0,1,452.269
19110016394884064,1,0,2,1,1,774.3760000000001
19110016481647444,1,0,2,0,1,1023.8839999999999
19110016510563810,1,0,1,1,1,565.45
19110017012281788,1,0,1,0,1,351.075
19110017083287820,1,0,1,0,1,368.58099999999996
19110017153305100,1,0,1,0,1,357.12300000000005
19110017171596256,1,1,2,2,1,1263.526
19110017174485256,1,1,3,2,2,2325.243
19110017174549464,1,0,1,1,1,815.814
19110017174945160,1,0,1,0,1,519.031
19110017184476940,1,0,2,1,1,743.5260000000001
19110017253661660,1,0,1,0,1,383.892
19110017284418372,1,1,2,1,1,1311.279
19110017285950680,1,0,1,0,1,929.0
19110017293338550,1,0,1,1,1,567.956
19110017312241544,2,0,1,0,1,570.511
19110017393013264,1,1,2,2,1,1101.552
19110017481155970,1,0,1,0,1,529.823
19110017511012824,1,0,1,1,1,1470.971
19110017523518884,1,0,1,1,1,791.826
19110017530024836,2,0,2,1,1,1613.525
19110017560505716,1,0,2,0,1,698.935
19110017572731776,1,0,2,0,1,544.008
19110018005165070,1,0,1,1,1,426.389
19110018041082170,1,2,4,2,3,2013.24
19110018075132624,1,1,1,0,1,1335.325
19110018080993444,1,0,1,0,1,344.66900000000004
19110018121027292,1,0,1,0,1,604.057
19110018194190652,1,0,2,2,1,928.638
19110018263611428,1,1,3,2,2,1044.692
19110018300112784,1,1,2,1,1,1099.465
19110018325551136,1,0,2,0,1,833.238
19110018341205628,1,1,3,1,1,1811.0279999999998
19110018391360470,1,1,1,1,1,1073.828
19110018442402724,1,0,2,2,1,1023.802
19110018450701030,2,0,1,0,1,2149.064
19110018461360620,1,0,2,1,1,716.5089999999999
19110018463948950,1,0,1,0,1,900.967
19110018541897900,1,0,1,2,1,726.488
19110018560604900,1,0,2,2,1,911.465
19110018562531040,1,0,2,2,1,1201.16
19110018581079132,1,0,1,0,1,403.756
19110018584139372,1,0,2,1,1,694.045
19110019054942596,1,0,1,0,1,586.263
19110019084011120,1,1,3,2,3,1866.243
19110019091866692,1,0,1,1,1,794.908
19110019115842456,1,0,1,1,1,833.24
19110019180366030,1,0,1,0,1,569.956
19110019261459470,1,0,2,2,1,1326.362
19110019354420096,1,0,1,1,1,717.794
19110019384319640,1,2,3,2,2,1030.573
19110019405771370,1,0,2,2,2,626.1
19110019432561270,1,0,2,2,1,1399.509
19110019442532264,1,0,0,0,1,488.93699999999995
19110019453723416,1,0,1,0,1,536.94
19110019510629372,1,0,1,0,1,719.347
19110019515860970,1,0,1,0,1,337.098
19110019554282828,1,0,1,1,1,2213.549
19110019562541570,1,0,1,0,1,390.499
19110019570180980,1,0,1,0,1,1168.357
19110020011651000,1,0,1,0,1,815.562
19110020130234624,2,0,2,1,1,1521.251
19110020130414044,1,0,1,0,1,311.366
19110020144438452,1,0,2,0,1,1089.576
19110020195134016,1,0,1,0,1,750.323
19110020211109250,1,0,1,1,1,1745.125
19110020212568804,1,0,1,1,1,510.14599999999996
19110020362715484,1,1,2,2,2,1062.208
19110020371436330,2,0,2,2,1,627.6469999999999
19110020505238564,1,0,1,0,1,304.682
19110020512562496,1,0,1,0,1,339.881
19110020555905616,1,0,1,0,1,526.284
19110021003415256,1,0,1,0,1,430.208
19110021380728370,1,0,1,0,1,549.8530000000001
19110021412008416,2,0,1,0,1,664.627
19110021512496180,1,0,1,0,1,1822.5770000000002
19110022092678260,1,1,1,2,1,1997.2089999999998
19110022093264348,1,0,1,0,1,1148.029
19110022104187370,2,0,1,1,1,372.409
19110022135888890,1,0,1,0,1,562.367
19110022154182324,1,0,2,1,1,1135.0510000000002
19110022274676896,2,0,1,2,1,899.663
19110022301481936,1,0,1,1,1,641.297
19110022312588136,1,0,3,2,1,979.164
19110022415271810,1,0,1,1,1,865.69
19110023060411612,1,0,1,0,1,323.20099999999996
19110023320590484,1,0,1,2,1,2255.881
